transaction_id,timestamp,unix_timestamp,from_address,to_address,amount_eth,nonce,chain_id,deadline,signature_hash,full_signature,contract_type,is_replay,attack_type,blocked,detection_layer,reason,label
"TX-0785","2026-05-12T15:11:31.000Z","1778598691","0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65","0x90F79bf6EB2c4f870365E785982E1f101E93b906","0.15","98","31337","1778534673","0x768d1efbfec77d589b...","0x5a26f1926d8f214ea79453f11267d59a92266ef3396c003a7647847c121d971423776b586f4843922fcb38f41fa85d5f090133d22110b87438732ebce98f6e0e1c","secure","true","expired_tx","true","middleware","Middleware blocked: Transaction deadline has passed","1"
"TX-0181","2026-05-11T19:29:49.000Z","1778527789","0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65","0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC","0.2",,"31337",,"0x7759b07cf1dac26849...","0x36b66cd7432b8e1aae71cb753c54e3ec85485fc8395d1093b328a7c44180526b30ba175d6c00e59b50defac10f16380ccfca5ab89b63e4fbe711d8e2489799481c","vulnerable","false","none","false","none","Legitimate transaction","0"
"TX-0324","2026-05-12T00:31:05.000Z","1778545865","0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65","0x90F79bf6EB2c4f870365E785982E1f101E93b906","2.0",,"31337",,"0x0b6313f68df4f6a9c3...","0xa369034cab27d4f233091aec28eb123bce76d1bf558d67e47b815773ef4507c277f92ec07ac1546ca571a199e85cf15b670a6134f712ec09289f8b0c149e0dab1b","vulnerable","false","none","false","none","Legitimate transaction","0"
"TX-0245","2026-05-11T20:37:25.000Z","1778531845","0x90F79bf6EB2c4f870365E785982E1f101E93b906","0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC","0.01",,"31337",,"0xd2849c1d5e8577df9e...","0xab680ea08c6f5778478d027189efe2ebcf12fc70a7f4133036b78c7a3d63fb2379d89514c8ad290d0f78a1f7c771befcda2551dc42d08475030cb121a8cffffa1b","vulnerable","false","none","false","none","Legitimate transaction","0"
"TX-0242","2026-05-11T23:17:17.000Z","1778541437","0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC","0x90F79bf6EB2c4f870365E785982E1f101E93b906","0.2",,"31337",,"0xbeec49167ec213756d...","0x74943b6afd131277065da8e0b6e814c7b3911179a6c9aaa71b6937f71acffc051658792149a9f5ec081c941637045057ca53394f4fb3f62c7774e1c3ef4517b11c","vulnerable","false","none","false","none","Legitimate transaction","0"
"TX-0231","2026-05-11T22:36:51.000Z","1778539011","0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC","0x90F79bf6EB2c4f870365E785982E1f101E93b906","2.0","45","31337","1778542611","0x0e73101b3b93e92538...","0xc38e4a81f2f739e2d597d1178c6bf12c1488d8d28e14145f29cdef39c4fd6238759ddecc5d92672281661add8096f4a067c0a8e135c134c1b9764c5492e5a1ee1b","secure","false","none","false","none","Legitimate transaction","0"
"TX-0147","2026-05-12T14:16:20.000Z","1778595380","0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC","0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266","0.05",,"31337",,"0xe4d01152d70ad54ef7...","0x18ed5a3fea8f9fdf98a17e291f5510bfc9f0d86cefcffdf07a846b520ad709a5355f0d85271a61dbe8669debcdc353b3a8049c42e1c469940d5699b0d6dfffb71b","vulnerable","false","none","false","none","Legitimate transaction","0"
"TX-0679","2026-05-12T15:04:48.000Z","1778598288","0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65","0x70997970C51812dc3A010C7d01b50e0d17dc79C8","1.0","80","11155111","1","1778601888","0xd149e3fce9669f683b...","0xdc2367dd1a36c77fb8f77b51b832e4a51e8a3c8bdc495e21630ba82e8440f1e165d7a629920fbe966f62446541f4ce53d73b750d0a2f0cfe3e26788af6cca9b31b","secure","true","cross_chain_replay","true","smart_contract","Secure contract blocked: Chain ID mismatch — signature invalid on this chain","1"
"TX-0089","2026-05-12T01:29:56.000Z","1778549396","0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266","0x70997970C51812dc3A010C7d01b50e0d17dc79C8","0.2",,"31337",,"0xf30beddd61704f271c...","0x7cdafcc1fd5022e41476dce3b5cb1c6cf11725b50c79ba74c602d008e710fd2a31684e5426c59293989506afc154bb42024640082518d32efdc2d50e281e4acb1c","vulnerable","false","none","false","none","Legitimate transaction","0"
"TX-0205","2026-05-12T03:44:11.000Z","1778557451","0x90F79bf6EB2c4f870365E785982E1f101E93b906","0x70997970C51812dc3A010C7d01b50e0d17dc79C8","0.1",,"31337",,"0x9b5b7531be41000711...","0xfec7e604bbea46fc0dc614562374c43226818fdce072bd39080b6b79397b26d16b27ca91e12356e7efe226cd45d5cc6a3e2836c0f848685855ef428ba4966a551c","vulnerable","false","none","false","none","Legitimate transaction","0"
"TX-0515","2026-05-12T15:55:24.000Z","1778601324","0x70997970C51812dc3A010C7d01b50e0d17dc79C8","0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266","0.5",,"31337",,"0xa2325ecefeafe3ab1c...","0x5d8da360257c995a5ce72bea4df6df00c3dcf5548253c9e32a68d50b24ce3d192567dc71cfdd74843bd9ddd5821498d4cf138caa07907d12724c27ac30b6741a1c","vulnerable","true","signature_replay","false","none","ATTACK SUCCEEDED — Vulnerable contract has no replay protection","1"
"TX-0746","2026-05-12T15:10:47.000Z","1778598647","0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266","0x90F79bf6EB2c4f870365E785982E1f101E93b906","0.01","104","31337","1778539489","0x4a6d97f75fe98fa383...","0xc6bf45999e81349aef6f17f984cb63c6d6e2ed475110fd9d032464e63944036b12a6b6b6379a4d436309151bfc5978b98cfa9e5042d7bd34593a959e3afa96b61c","secure","true","expired_tx","true","middleware","Middleware blocked: Transaction deadline has passed","1"
"TX-0712","2026-05-12T14:24:06.000Z","1778595846","0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266","0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65","0.01","94","11155111","1","1778599446","0x099ad685c81f0d768d...","0xfcfc93c66d7c50e3fb8613586a8860b6ea1d34bb6fee7b61a24f2be3d8046f3d192dcaeca4bb3267f74e3c9a3fdac674a3cb0fc756e4d529493fa32944c2424b1b","secure","true","cross_chain_replay","true","smart_contract","Secure contract blocked: Chain ID mismatch — signature invalid on this chain","1"
"TX-0598","2026-05-12T15:14:26.000Z","1778598866","0x90F79bf6EB2c4f870365E785982E1f101E93b906","0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266","0.05","61","31337","1778521229","0x64951b02fc52b6addd...","0x03f4b214ff3c8a27803b1c765666418471f097b7dd5ed13b4540f29e288781f92d6b9c97b44ad5383baac8cbd53ffd1052fc05ed930c2ad9df669797ccbce3821b","secure","true","nonce_replay","true","smart_contract","Secure contract blocked: Invalid nonce: possible replay attack","1"
"TX-0114","2026-05-11T23:42:37.000Z","1778542957","0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266","0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC","0.5",,"31337",,"0x67702ee640c437364f...","0x386a325c647302927c6d98b7cbdede4aad2c92e2965cdd9aff2fdbc36aa1660033ecbd566259c94361f09b9e23b83285af5f4f97d6d34774c1c4e755c29708e41c","vulnerable","false","none","false","none","Legitimate transaction","0"
"TX-0249","2026-05-12T12:50:26.000Z","1778590226","0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266","0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC","0.5",,"31337",,"0x67702ee640c437364f...","0x386a325c647302927c6d98b7cbdede4aad2c92e2965cdd9aff2fdbc36aa1660033ecbd566259c94361f09b9e23b83285af5f4f97d6d34774c1c4e755c29708e41c","vulnerable","false","none","false","none","Legitimate transaction","0"
"TX-0148","2026-05-12T00:27:33.000Z","1778545653","0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC","0x90F79bf6EB2c4f870365E785982E1f101E93b906","2.0","27","31337","1778549253","0x27fef101b2521104c5...","0x6508c9f31ce6e8684fc7342fe762032aca40da661b65b4847cf82a50e97f84fb496325b92245b7722a6e10fb5f84520bb31c46fd05db18bcc881161ae3cb946c1b","secure","false","none","false","none","Legitimate transaction","0"
"TX-0713","2026-05-12T14:37:48.000Z","1778596668","0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC","0x70997970C51812dc3A010C7d01b50e0d17dc79C8","0.2","91","11155111","1","1778600268","0x1c2c1dbaa8e8cfb214...","0x53011f09dc6454e7757e813590e682db8171b15b3083d39f2e47500ce39fdb3a7c8d730c60d3ae5b53fbf667793d4d5321df21db1a5b8e22adcc6e581f9606531b","secure","true","cross_chain_replay","true","smart_contract","Secure contract blocked: Chain ID mismatch — signature invalid on this chain","1"
"TX-0003","2026-05-11T20:09:18.000Z","1778530158","0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266","0x90F79bf6EB2c4f870365E785982E1f101E93b906","1.0","0","31337","1778533758","0x132be3a9bd7b4633da...","0x6c0c28648910271d9e9e5130b7549c74f37bdb075229a44220e75c608388664d3f6efe000291af2ad800a8282ef5b62ab6d03944baee0b9c008b97db2540c3901b","secure","false","none","false","none","Legitimate transaction","0"
"TX-0498","2026-05-12T15:33:09.000Z","1778599989","0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266","0x90F79bf6EB2c4f870365E785982E1f101E93b906","0.15",,"31337",,"0xc0ede8de1ccc281f9e...","0x8c1d8a8beb5988d28df2d92a253fa63619e702f0830f5fb15baaa624d4ff65a5378ccd36efd3e8cb4e60fce7a87286e34a06a3a098d71d6fd65dd9ed3553d4f21c","vulnerable","true","signature_replay","false","none","ATTACK SUCCEEDED — Vulnerable contract has no replay protection","1"
"TX-0251","2026-05-11T17:26:40.000Z","1778520400","0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC","0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65","0.15",,"31337",,"0x51770c5972923190d1...","0xae83b2b1e2771c652a6376fc10a03a314856cb11f7f233309a30fa253467ef984243421bb19f9621b48e02ae4b8d6f9655b58910edf81c221fac15980bf58a4f1b","vulnerable","false","none","false","none","Legitimate transaction","0"
"TX-0222","2026-05-12T12:14:03.000Z","1778588043","0x90F79bf6EB2c4f870365E785982E1f101E93b906","0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC","1.0",,"31337",,"0xc19dc6e90ce0b208b3...","0x75a4ca4714597c71915d83828493c6c4977c75198fdfbed74f3b2e999bf6af1256c192630e1b3e3038f8a30226f11a603efad3e5c5637b518b004350cc375b101b","vulnerable","false","none","false","none","Legitimate transaction","0"
"TX-0642","2026-05-12T15:36:24.000Z","1778600184","0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC","0x90F79bf6EB2c4f870365E785982E1f101E93b906","1.0","53","31337","1778542080","0x152bfed5f40388bf0b...","0xf4e09241240f672cafd115fa362efb72324d55ac6e3b485d152d7dc0bd34adef0411b64e95f6bbcd7d3776b39199999200dcbf89a81edf4cb75b67584eba9fe91c","secure","true","nonce_replay","true","middleware","Middleware blocked: Nonce already used","1"
"TX-0729","2026-05-12T14:37:55.000Z","1778596675","0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC","0x70997970C51812dc3A010C7d01b50e0d17dc79C8","2.0","95","11155111","1","1778600275","0x4bedd2a441fe628460...","0xf5b51a868631b0025116a3a7fd94be030d32c39370aecf516ccd659264980332540f4a750778d240835a5d102ef18758ef3bea2f79a4365534af4ee15dfe96e81c","secure","true","cross_chain_replay","true","smart_contract","Secure contract blocked: Chain ID mismatch — signature invalid on this chain","1"
"TX-0735","2026-05-12T15:12:22.000Z","1778598742","0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65","0x90F79bf6EB2c4f870365E785982E1f101E93b906","2.0","93","31337","1778540773","0x37f47feb3fcdf83e5f...","0x6a0b31193350701ba681beec7b10c8f154ad5bf71a39f5e525a34dc521bf910027809ae36916c8dc3e39f631c79f37a4c4cf47885edeeccbf8f4ee5c8fc84f6b1b","secure","true","expired_tx","true","smart_contract","Secure contract blocked: Transaction expired","1"
"TX-0252","2026-05-11T15:33:09.000Z","1778513589","0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC","0x90F79bf6EB2c4f870365E785982E1f101E93b906","0.01","52","31337","1778517189","0x54b8be67b2554489ee...","0x2bdab27e9828032d41c273d9e1de97d40f7862a8fca8007a9b08fb814e34caba5e3805963e50c3263405f6dfd302ea54670a777b0ba0175e2808dbd8fc87d7d31c","secure","false","none","false","none","Legitimate transaction","0"
"TX-0506","2026-05-12T15:40:42.000Z","1778600442","0x90F79bf6EB2c4f870365E785982E1f101E93b906","0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65","0.2",,"31337",,"0x7fec536945a042b5bd...","0xe7c8a1a673c2bf05e1b2859bcae4b4adc10fd03540bce86290945d143b9a68ac2b38534d16b24f8e50b71680d9da8c6c041cfcdaa3852839a0df177e97ff3d501b","vulnerable","true","signature_replay","true","middleware","Middleware blocked: Signature already used","1"
"TX-0747","2026-05-12T15:12:25.000Z","1778598745","0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65","0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266","0.15","94","31337","1778592994","0xd3027910755bc904f6...","0x690684d8173b6b18d745e709b2f0c0f2fea407e75846b89acc50eb2b6e4b8281334ab6dd18ce3bb94510c8689671840644f771aa8c6d7835647d501d2dcdfda81b","secure","true","expired_tx","true","middleware","Middleware blocked: Transaction deadline has passed","1"
"TX-0163","2026-05-12T00:32:12.000Z","1778545932","0x70997970C51812dc3A010C7d01b50e0d17dc79C8","0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266","0.01","31","31337","1778549532","0xae20564b7092f3d7a3...","0x1e599e087896eec73126cbd3d9c3d05cba1047c14e8482aadff943e5f2c7885252cb87c4f46753cfe8e814c6f680f2b7187ed53b4c6c335c9ec35903646cf95e1c","secure","false","none","false","none","Legitimate transaction","0"
"TX-0444","2026-05-12T15:21:26.000Z","1778599286","0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC","0x70997970C51812dc3A010C7d01b50e0d17dc79C8","0.1",,"31337",,"0xc6f262bcd3fea122bd...","0x833d9d58e83e56e528f2bf6b6c96a9a2cdf22f1fdad5ac05291e817c7362988444e847e06414d318457130b55775ee13ca52be5a8c59fdeda06f72cde70927191c","vulnerable","true","signature_replay","true","middleware","Middleware blocked: Signature already used","1"
"TX-0271","2026-05-12T10:46:19.000Z","1778582779","0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266","0x90F79bf6EB2c4f870365E785982E1f101E93b906","1.0",,"31337",,"0x53732fe9814e00695c...","0x9c5d8f40a07ec605cf1f3df5085343a0d8fe70c3eee8dc47960cb3531e99c24076241a99d9af6368e6a61b3e80aa551bf803b5ea4ae46a19e64c5702510ed5391b","vulnerable","false","none","false","none","Legitimate transaction","0"
"TX-0724","2026-05-12T14:24:38.000Z","1778595878","0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266","0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65","1.0","98","11155111","1","1778599478","0x13b84ce8474d4da79a...","0xdee4cf36c244e61abfe43153475f180553a89c7d7a46c87b9f05218e7d6ea26512949a95bea72df5b571cb9c544413d351b945d927d6d9a99a920f2fee587c241c","secure","true","cross_chain_replay","true","smart_contract","Secure contract blocked: Chain ID mismatch — signature invalid on this chain","1"
"TX-0668","2026-05-12T14:11:32.000Z","1778595092","0x70997970C51812dc3A010C7d01b50e0d17dc79C8","0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC","0.2","84","11155111","1","1778598692","0x97b443572bc7cc7916...","0xe9eaed11233b3253a97818341981dd1985600612e6fda7ab3c47cc0251a5d37c361bf6902548a9810d195687f6a4f2e244fcea957d957d80c8c75893c0ddc2241c","secure","true","cross_chain_replay","true","smart_contract","Secure contract blocked: Chain ID mismatch — signature invalid on this chain","1"
"TX-0240","2026-05-11T22:44:12.000Z","1778539452","0x90F79bf6EB2c4f870365E785982E1f101E93b906","0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC","0.15",,"31337",,"0x1a44c07a4435101591...","0x7dbbe87da635eb20554b062148f2c5323cc6bf76ab68428b5d3b8743a7414dc74407f64c66d16e7406752f21a2feedce16c92f8ed00844b152a89312856acdab1b","vulnerable","false","none","false","none","Legitimate transaction","0"
"TX-0286","2026-05-12T09:10:44.000Z","1778577044","0x90F79bf6EB2c4f870365E785982E1f101E93b906","0x70997970C51812dc3A010C7d01b50e0d17dc79C8","0.1","56","31337","1778580644","0x315d3e183b99c42719...","0x51bf09816a8b61202ea1350a46e5abf97ba81da0bb52ea8c21315e11b55d22dc715bbd05f9013e72e7f257371178740a758cf1a8fa52b3eaef687464c69ed3911b","secure","false","none","false","none","Legitimate transaction","0"
"TX-0690","2026-05-12T14:41:13.000Z","1778596873","0x70997970C51812dc3A010C7d01b50e0d17dc79C8","0x90F79bf6EB2c4f870365E785982E1f101E93b906","0.5","90","11155111","1","1778600473","0xefa4ee979346750fc2...","0x9ec7ff658b873f49d6496ca6790b4fa791de1ce42396e9c0b3ad08f9e32710630e28da965f402fa6fac381d0a64002f5b2e32f163877e69bf1f7a755d988bd1b1b","secure","true","cross_chain_replay","true","smart_contract","Secure contract blocked: Chain ID mismatch — signature invalid on this chain","1"
"TX-0613","2026-05-12T15:49:22.000Z","1778600962","0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266","0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC","0.05","19","31337","1778602143","0xfcd0327e7f6dad02a8...","0x6dc6ea91567bc4e7aea1621a75c4aa152ee59afca497768ac61230dce1069ada1e68673a79d66b21e0fcb5657124016cce73c58b97f9991f47f5cf6666dd8dea1c","secure","true","nonce_replay","true","middleware","Middleware blocked: Nonce already used","1"
"TX-0493","2026-05-12T16:06:22.000Z","1778601982","0x70997970C51812dc3A010C7d01b50e0d17dc79C8","0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65","1.0",,"31337",,"0x0c3479356bee4eb38f...","0x4e70af4d14a1e0788fc89eb64ed2053c635e6ee118942a84a2fda26cfabf237b42c4bba4f7eb39f8a48647293cc36c935079fb620947cda3e0b317f24faa991c1c","vulnerable","true","signature_replay","false","none","ATTACK SUCCEEDED — Vulnerable contract has no replay protection","1"
"TX-0228","2026-05-11T23:23:05.000Z","1778541785","0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC","0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266","0.5","44","31337","1778545385","0x1c35701187e2f87362...","0xdea6ab547d2ec8153cdc2a73944fb1116d837a396a4aa1d1e97c3f764dfd759b2270178702cc7be029caa21641ac277e4389fa17365e074e3b7b987f443e63241b","secure","false","none","false","none","Legitimate transaction","0"
"TX-0355","2026-05-11T19:43:28.000Z","1778528608","0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266","0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC","0.1",,"31337",,"0xc3bf7b62cdade95838...","0xfaabc25f28775dd0a0539684ec7514334a131f21dc14fbf42e1a3ea29bd7a79879b15511bc0c2792d94d76352e62a7ad54933a613943be6046d32d7b81aef1b91b","vulnerable","false","none","false","none","Legitimate transaction","0"
"TX-0704","2026-05-12T14:36:57.000Z","1778596617","0x90F79bf6EB2c4f870365E785982E1f101E93b906","0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266","0.15","91","11155111","1","1778600217","0x97a86995cd45683edd...","0x9fd63115928fb7ffbb8cfe0463d5627deae3fd62ae280c78214acdd2084eb11868a294dfe6c6c9314696eaf2d964e26c75cfa1bed4c3afdf00bb273ad88bf5c41c","secure","true","cross_chain_replay","true","smart_contract","Secure contract blocked: Chain ID mismatch — signature invalid on this chain","1"
"TX-0004","2026-05-12T02:55:12.000Z","1778554512","0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC","0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266","0.01","1","31337","1778558112","0x9a0d72b0e7b8d75a51...","0x49813e7a08057609185ccba611c29f18fac639e5da3654cfa4318694070b57296fbf1f6f5e3adbc7df16da14664bc22bf638e37aa30815401c48f6e55c0709171b","secure","false","none","false","none","Legitimate transaction","0"
"TX-0609","2026-05-12T15:58:40.000Z","1778601520","0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266","0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC","0.05","30","31337","1778556030","0x02963fd935ae8351aa...","0x532ec7be7cabe0ac16890521f55c1b45f44b9b4d81eb6ed6f7cd1bf76e222305676cd931e9b74783fb23783e8e51c244a006ae9c1f91e9e40fd913e60bcd214b1c","secure","true","nonce_replay","true","middleware","Middleware blocked: Nonce already used","1"
"TX-0687","2026-05-12T14:12:02.000Z","1778595122","0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266","0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC","0.1","90","11155111","1","1778598722","0x2e249a629bb68f1d30...","0x73cd64576ec9a9389868e47b776178f10db3e12c887e54698bf10498531c15654edea730fd41bb25dd67ad06cf2f17243b37e72bb9eb51bf67f76a4cc658e1411b","secure","true","cross_chain_replay","true","smart_contract","Secure contract blocked: Chain ID mismatch — signature invalid on this chain","1"
"TX-0332","2026-05-11T19:33:10.000Z","1778527990","0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC","0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65","0.05",,"31337",,"0x2c317064a873798c73...","0xde246ca6ac33b28c62912f445bc53668d43a815c1d92ac6b3f5151e43efad3e37efac12607e129296873d655699332bfdf514be35fc1b9be48abe37571a34a431c","vulnerable","false","none","false","none","Legitimate transaction","0"
"TX-0190","2026-05-11T22:28:44.000Z","1778538524","0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266","0x90F79bf6EB2c4f870365E785982E1f101E93b906","0.2","41","31337","1778542124","0xc77768fb4da12b0572...","0x20867ec6cf74c3a07466e861818ebe84f1ad1a74f9a9912cc322c5138a0fb6ad68aabddc537feb14a5886be7dd671e4ecca3bf99ca56761ab6339bac2476a6561b","secure","false","none","false","none","Legitimate transaction","0"
"TX-0647","2026-05-12T16:00:29.000Z","1778601629","0x70997970C51812dc3A010C7d01b50e0d17dc79C8","0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266","1.0","10","31337","1778552090","0x762d70c941acf524d2...","0x1785518377b9d589fa9801dee2934f1d948ecb7e1657ea954c6d8b2db2e34abd6b2140902ed687a0f9ec062583d29492d6688747219791a542fa8ae1d74590981b","secure","true","nonce_replay","true","middleware","Middleware blocked: Nonce already used","1"
"TX-0733","2026-05-12T15:11:00.000Z","1778598660","0x90F79bf6EB2c4f870365E785982E1f101E93b906","0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC","0.01","97","31337","1778539176","0xe48fb90d683d4da5f6...","0x3651ad7409189513e34ea8afad57ad6114a5c23931a2695e47198cccfc8e6e704fb763e007bfa0692c103432e84b6d2403762f5160c01531b1c87cc3a07bde881b","secure","true","expired_tx","true","smart_contract","Secure contract blocked: Transaction expired","1"
"TX-0336","2026-05-12T03:47:08.000Z","1778557628","0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC","0x90F79bf6EB2c4f870365E785982E1f101E93b906","1.0","68","31337","1778561228","0x5616837d3306aa34ed...","0x464e865743454c1010b46c3692de50d1e87a75c5ff2ccb20c5dcf5769567a6312ef4b16eb28ae13677c025333941de98f379ad55e2e93f20a8c16e96b59c55401c","secure","false","none","false","none","Legitimate transaction","0"
"TX-0741","2026-05-12T15:11:49.000Z","1778598709","0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266","0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65","0.05","102","31337","1778548953","0x847ea15f3e3d0713df...","0xb283100a2c59cfe37028596169fb1230fdebcaab44b68f828064d6df302566cb2720c0118bbee2482016a967d5d58660a670b4047460d240f455044d112c79b41b","secure","true","expired_tx","true","middleware","Middleware blocked: Transaction deadline has passed","1"
"TX-0753","2026-05-12T15:11:41.000Z","1778598701","0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC","0x90F79bf6EB2c4f870365E785982E1f101E93b906","1.0","97","31337","1778518968","0x21eff786f7cc941efb...","0xc4f015ec850135ea435a58c8b41ec856ab66dc220d73a7b2b71450a9658b199c5657b9d921bf34baeb557a3a7368a57598d9431a942dc34f0e07d0e8527c149d1b","secure","true","expired_tx","true","middleware","Middleware blocked: Transaction deadline has passed","1"
"TX-0048","2026-05-12T12:15:54.000Z","1778588154","0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65","0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266","1.0",,"31337",,"0x1778a0ab5c4fda540e...","0xc281d48f33622c7cc318b5b5a362de6e4b838976651d86defb8656ccba9717d20189cdcde7bb1bac7634a516f6e6bb7a4a93c2fee92092265314674508265f541b","vulnerable","false","none","false","none","Legitimate transaction","0"
"TX-0350","2026-05-12T02:27:20.000Z","1778552840","0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65","0x90F79bf6EB2c4f870365E785982E1f101E93b906","1.0",,"31337",,"0x67f407f4907662db58...","0xb95aa460497f3d451c4fa551067cf1aa758262cd5a8dac3dcbb90e7ab1dc6826317b975407eaab977e6f0cc94687a56ccfcc3b174156a350b468b3352ad7a7ac1c","vulnerable","false","none","false","none","Legitimate transaction","0"
"TX-0655","2026-05-12T14:57:43.000Z","1778597863","0x90F79bf6EB2c4f870365E785982E1f101E93b906","0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65","0.5","80","11155111","1","1778601463","0x6f41d30434eafc5eb3...","0x222303a18e012390456d8cecd57167cf9bedc48e9a1ea17c2343bd361b7b32b541da3d502fb6427523369ee8514167abc61aec2ab010d877aa8f32291bfdc7f91b","secure","true","cross_chain_replay","true","smart_contract","Secure contract blocked: Chain ID mismatch — signature invalid on this chain","1"
"TX-0657","2026-05-12T14:48:39.000Z","1778597319","0x70997970C51812dc3A010C7d01b50e0d17dc79C8","0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266","0.15","82","11155111","1","1778600919","0x9677eecae4347c07a8...","0x18de8a28e5cae58399d1b77592509df71d179dd640b4554d027b8b74a52dac32646ca8bf62a48035cdde065763101cf0931cda2acce84591d80520ac3e56b5c11c","secure","true","cross_chain_replay","true","smart_contract","Secure contract blocked: Chain ID mismatch — signature invalid on this chain","1"
